axis-0,axis-1,axis-2,label,type,index,Notes
146.0,339.0,299.0,1,Shaft_Geph+Bsn_NoSynTd,1,
138.0,340.0,285.0,2,Shaft_Geph+Bsn_NoSynTd,2,
154.0,341.0,279.0,3,Shaft_Geph+Bsn_NoSynTd,3,
142.0,343.0,273.0,4,Shaft_Geph+Bsn_NoSynTd,4,
158.0,349.0,259.0,5,Shaft_Geph+Bsn_NoSynTd,5,
164.99976017425323,352.61557940118337,244.44243406580415,6,Shaft_SyntdNotScored,6,
161.00027251643724,357.94770469619067,231.53278982253903,7,Shaft_SyntdNotScored,7,
156.87415112616455,368.2076507951999,216.79523306365843,8,Shaft_SyntdNotScored,8,
170.0,375.0,200.0,9,Shaft_Geph+Bsn_NoSynTd,9,
190.0,382.0,188.0,10,Shaft_Geph+Bsn_NoSynTd,10,
200.96582247101068,384.0356165879631,180.8358183063187,11,Shaft_SyntdNotScored,11,
218.0,383.0,173.0,12,Shaft_Geph+Bsn_NoSynTd,12,
214.0,385.0,165.0,13,Shaft_Geph+Bsn_NoSynTd,13,
210.0,393.0,149.0,14,Shaft_Geph+Bsn_NoSynTd,14,
216.89170947837653,394.2001675392567,144.79235249970515,15,Shaft_SyntdNotScored,15,
164.52016214338445,355.11671274345264,237.798534185772,34,Ambiguous,16,
216.89170947837653,394.2001675392567,144.79235249970515,35,Ambiguous,17,
204.94907425290654,423.6416056346439,128.29608483510404,36,Ambiguous,18,
